Iteration:106 Test-Acc:0.8568 Train-Acc:0.721
Iteration:107 Test-Acc:0.857 Train-Acc:0.75
Iteration:108 Test-Acc:0.8558 Train-Acc:0.731
Iteration:109 Test-Acc:0.8578 Train-Acc:0.744
Iteration:110 Test-Acc:0.8588 Train-Acc:0.754
Iteration:111 Test-Acc:0.8579 Train-Acc:0.732
Iteration:112 Test-Acc:0.8582 Train-Acc:0.747
Iteration:113 Test-Acc:0.8593 Train-Acc:0.747
Iteration:114 Test-Acc:0.8598 Train-Acc:0.751
Iteration:115 Test-Acc:0.8603 Train-Acc:0.74
Iteration:116 Test-Acc:0.86 Train-Acc:0.753
Iteration:117 Test-Acc:0.8588 Train-Acc:0.746
Iteration:118 Test-Acc:0.861 Train-Acc:0.741
Iteration:119 Test-Acc:0.8616 Train-Acc:0.731
Iteration:120 Test-Acc:0.8629 Train-Acc:0.753
Iteration:121 Test-Acc:0.8609 Train-Acc:0.743
Iteration:122 Test-Acc:0.8627 Train-Acc:0.752
Iteration:123 Test-Acc:0.8646 Train-Acc:0.76
Iteration:124 Test-Acc:0.8649 Train-Acc:0.766
Iteration:125 Test-Acc:0.8659 Train-Acc:0.752
Iteration:126 Test-Acc:0.868 Train-Acc:0.756
Iteration:127 Test-Acc:0.8648 Train-Acc:0.767
Iteration:128 Test-Acc:0.8662 Train-Acc:0.747
Iteration:129 Test-Acc:0.8669 Train-Acc:0.753
Iteration:130 Test-Acc:0.8694 Train-Acc:0.753
Iteration:131 Test-Acc:0.8692 Train-Acc:0.76
Iteration:132 Test-Acc:0.8658 Train-Acc:0.756
Iteration:133 Test-Acc:0.8666 Train-Acc:0.769
Iteration:134 Test-Acc:0.8692 Train-Acc:0.77
Iteration:135 Test-Acc:0.8681 Train-Acc:0.757
Iteration:136 Test-Acc:0.8705 Train-Acc:0.77
Iteration:137 Test-Acc:0.8706 Train-Acc:0.77
Iteration:138 Test-Acc:0.8684 Train-Acc:0.768
Iteration:139 Test-Acc:0.8664 Train-Acc:0.774
Iteration:140 Test-Acc:0.8666 Train-Acc:0.756
Iteration:141 Test-Acc:0.8705 Train-Acc:0.783
Iteration:142 Test-Acc:0.87 Train-Acc:0.775
Iteration:143 Test-Acc:0.8729 Train-Acc:0.769
Iteration:144 Test-Acc:0.8725 Train-Acc:0.776
Iteration:145 Test-Acc:0.8721 Train-Acc:0.772
Iteration:146 Test-Acc:0.8718 Train-Acc:0.765
Iteration:147 Test-Acc:0.8746 Train-Acc:0.777
Iteration:148 Test-Acc:0.8746 Train-Acc:0.77
Iteration:149 Test-Acc:0.8734 Train-Acc:0.778
Iteration:150 Test-Acc:0.873 Train-Acc:0.785
Iteration:151 Test-Acc:0.8732 Train-Acc:0.76
Iteration:152 Test-Acc:0.8727 Train-Acc:0.779
Iteration:153 Test-Acc:0.8754 Train-Acc:0.772
Iteration:154 Test-Acc:0.8729 Train-Acc:0.773
Iteration:155 Test-Acc:0.8758 Train-Acc:0.784
Iteration:156 Test-Acc:0.8732 Train-Acc:0.774
Iteration:157 Test-Acc:0.8743 Train-Acc:0.782
Iteration:158 Test-Acc:0.8762 Train-Acc:0.772
Iteration:159 Test-Acc:0.8755 Train-Acc:0.79
Iteration:160 Test-Acc:0.8751 Train-Acc:0.774
Iteration:161 Test-Acc:0.8749 Train-Acc:0.782
Iteration:162 Test-Acc:0.8744 Train-Acc:0.78
Iteration:163 Test-Acc:0.8765 Train-Acc:0.782
Iteration:164 Test-Acc:0.8738 Train-Acc:0.796
Iteration:165 Test-Acc:0.8753 Train-Acc:0.798
Iteration:166 Test-Acc:0.8767 Train-Acc:0.794
Iteration:167 Test-Acc:0.8746 Train-Acc:0.784
Iteration:168 Test-Acc:0.8769 Train-Acc:0.796
Iteration:169 Test-Acc:0.8758 Train-Acc:0.789
Iteration:170 Test-Acc:0.8764 Train-Acc:0.79
Iteration:171 Test-Acc:0.873 Train-Acc:0.791
Iteration:172 Test-Acc:0.8765 Train-Acc:0.797
Iteration:173 Test-Acc:0.8772 Train-Acc:0.789
Iteration:174 Test-Acc:0.8778 Train-Acc:0.781
Iteration:175 Test-Acc:0.8758 Train-Acc:0.799
Iteration:176 Test-Acc:0.8773 Train-Acc:0.785
Iteration:177 Test-Acc:0.8766 Train-Acc:0.796
Iteration:178 Test-Acc:0.8782 Train-Acc:0.803
Iteration:179 Test-Acc:0.8789 Train-Acc:0.794
Iteration:180 Test-Acc:0.8778 Train-Acc:0.794
Iteration:181 Test-Acc:0.8778 Train-Acc:0.8
Iteration:182 Test-Acc:0.8785 Train-Acc:0.791
Iteration:183 Test-Acc:0.8777 Train-Acc:0.787
Iteration:184 Test-Acc:0.8769 Train-Acc:0.781
Iteration:185 Test-Acc:0.8765 Train-Acc:0.786
Iteration:186 Test-Acc:0.8765 Train-Acc:0.793
Iteration:187 Test-Acc:0.8785 Train-Acc:0.796
Iteration:188 Test-Acc:0.879 Train-Acc:0.789
Iteration:189 Test-Acc:0.8763 Train-Acc:0.79
Iteration:190 Test-Acc:0.8774 Train-Acc:0.787
Iteration:191 Test-Acc:0.8766 Train-Acc:0.782
Iteration:192 Test-Acc:0.8803 Train-Acc:0.798
Iteration:193 Test-Acc:0.8781 Train-Acc:0.789
Iteration:194 Test-Acc:0.8795 Train-Acc:0.785
Iteration:195 Test-Acc:0.8791 Train-Acc:0.807
Iteration:196 Test-Acc:0.8778 Train-Acc:0.796
Iteration:197 Test-Acc:0.8783 Train-Acc:0.801
Iteration:198 Test-Acc:0.8778 Train-Acc:0.81
Iteration:199 Test-Acc:0.8771 Train-Acc:0.784
Iteration:200 Test-Acc:0.8776 Train-Acc:0.792
Iteration:201 Test-Acc:0.8784 Train-Acc:0.794
Iteration:202 Test-Acc:0.8787 Train-Acc:0.795
Iteration:203 Test-Acc:0.8803 Train-Acc:0.781
Iteration:204 Test-Acc:0.8798 Train-Acc:0.804
Iteration:205 Test-Acc:0.8779 Train-Acc:0.779
Iteration:206 Test-Acc:0.8788 Train-Acc:0.792
Iteration:207 Test-Acc:0.8764 Train-Acc:0.793
Iteration:208 Test-Acc:0.8792 Train-Acc:0.792
Iteration:209 Test-Acc:0.8798 Train-Acc:0.803
Iteration:210 Test-Acc:0.8788 Train-Acc:0.804
Iteration:211 Test-Acc:0.8793 Train-Acc:0.797
Iteration:212 Test-Acc:0.8764 Train-Acc:0.791
Iteration:213 Test-Acc:0.8801 Train-Acc:0.801
Iteration:214 Test-Acc:0.8814 Train-Acc:0.799
Iteration:215 Test-Acc:0.8806 Train-Acc:0.79
Iteration:216 Test-Acc:0.8799 Train-Acc:0.8
Iteration:217 Test-Acc:0.8803 Train-Acc:0.802
Iteration:218 Test-Acc:0.8782 Train-Acc:0.807
Iteration:219 Test-Acc:0.8818 Train-Acc:0.797
Iteration:220 Test-Acc:0.8793 Train-Acc:0.799
Iteration:221 Test-Acc:0.8789 Train-Acc:0.815
Iteration:222 Test-Acc:0.8791 Train-Acc:0.816
Iteration:223 Test-Acc:0.8793 Train-Acc:0.809
Iteration:224 Test-Acc:0.8814 Train-Acc:0.795
Iteration:225 Test-Acc:0.8798 Train-Acc:0.799
Iteration:226 Test-Acc:0.8805 Train-Acc:0.806
Iteration:227 Test-Acc:0.88 Train-Acc:0.808
Iteration:228 Test-Acc:0.8782 Train-Acc:0.801
Iteration:229 Test-Acc:0.8802 Train-Acc:0.814
